angleofview	Precision	Recall	F1
124.3	0.7457	0.7999	0.7719
124.052472	0.7457	0.7999	0.7719
123.802914	0.7457	0.7999	0.7719
123.5513035	0.7457	0.7999	0.7719
123.2976174	0.7457	0.7999	0.7719
123.0418325	0.7457	0.7999	0.7719
122.7839251	0.746	0.8041	0.774
122.5238715	0.7668	0.8296	0.797
122.2616474	0.7649	0.8304	0.7963
121.9972283	0.7563	0.8305	0.7917
121.7305894	0.7607	0.8455	0.8008
121.4617055	0.753	0.853	0.7999
121.1905512	0.7465	0.8619	0.8
120.9171007	0.733	0.8565	0.7899
120.6413278	0.6996	0.8334	0.7607
120.363206	0.6994	0.841	0.7637
120.0827086	0.7164	0.8568	0.7803
119.7998083	0.7171	0.8584	0.7814
119.5144777	0.7154	0.8707	0.7855
119.2266889	0.7383	0.8831	0.8042
118.9364136	0.74	0.8831	0.8053
118.6436233	0.7471	0.8928	0.8135
118.348289	0.7328	0.9026	0.8089
118.0503814	0.7637	0.9233	0.836
117.7498708	0.8262	0.9555	0.8861
117.4467271	0.8451	0.9647	0.901
117.1409198	0.7895	0.9726	0.8715
116.8324182	0.7031	0.9764	0.8175
116.5211909	0.5801	0.9796	0.7287
116.2072063	0.5264	0.9764	0.684
115.8904325	0.4609	0.9904	0.629
115.5708369	0.3896	1	0.5608
115.2483868	0.3312	1	0.4976
114.9230488	0.2776	1	0.4345
114.5947895	0.2477	1	0.3971
114.2635746	0.2139	1	0.3525
113.9293698	0.1889	1	0.3178
113.59214	0.0074	1	0.0146
